Drug	Content	Joined	Posted	Age	Gender
Metformin+diabetes+type+2	I'm having a real dilemna here; and I would really like to see more discussion of this topic. here is a great synopsis I just found: http://www.nature.com/nm/journal/v6/n9/full/nm0900_998.html WOW; that was a mouthful!! in light of the findings from all those studies listed I would think this needs much closer examination. In light of the fact that I am currently UND and have no virus; the reversal of fatty liver and less necrosis and less HCC all sounds very appealing; not to mention any reduction in IR would mean ones own Interferon response would be better post tx. and this alone may increase ones chances of an SVR even if begun at the end of an SOC regime. Perhaps now; more than any other time it could help insure one will recognize any lingering HCV and seek and destroy as designed. As long as one kept the dose low; monitored the liver; and watched for lactic acidosis; what would be the harm in trying? arguments in favor or opposed please weigh in; if obese women went from 20% to 60% SVR that should tell us something?? mb	2007	2009	57	Female
Metformin+diabetes+type+2	Hey all; I was just deemed insulin resistant due to polycystic ovarian syndrome.. I work out hard; 4 days a week and wasn't losing weight; so I was tested and sure enough.. So now; I've been on metformin for about a week.. I was on a low fat high fiber diet before; switching to low carb is been tough.. any tips I mean I eat one chicken cutlery and I'm bloated and full.. a handful of baby carrots and grapes and I'm done.. any portion advise? It's making my workouts more difficult due to lack I'd energy but I feel like if I eat more than that I'll be sick..	2015	2015		Female
Metformin+diabetes+type+2	"Hello; I am a thin and highly active 20 year old male who was just recently diagnosed with type 2 diabetes. The diagnosis is weird because I've never had a poor diet; I played sports; and have little family history of the disease. I should mention though that my father has been ""borderline"" since the age of 12 and now he is 51 and his condition has not changed. I'm not in denial but recently I've been beginning to wonder if I truly have the disease. You see my first fasting glucose test showed that I was high but still below 100 mg/dl. So my doctor ordered glucose tolerance test. The morning of the test several things went wrong and I believe that they merit a retest. I also confess that these things were my fault. First I was massively late. They wanted me there no later than 12-14 hours of fasting when I accidentally slept in and showed up at after 15 1/2 to 16 hours of fasting. The second mistake is that I think I accidentally broke fast. You see I almost reflexively grab my huge mug of coffee every morning without thinking and that morning I did. I had the equivalent of two cups of black flavorless coffee. I am not entirely sure if that affects the exam (my doctor doesn't think so but a lot of the nurses and lab techs do). Anyways I showed up and failed. My number was 220 mg/dl 2 hours after the glucola was administered to me. So my doctor puts me on metformin 500 mg for twice a day (I was also ordered to only take 1 a day for the first two weeks). He also gave me a glucose meter. A few days later I find that I am having the easiest time in the world keeping my numbers in the normal range (at this time I had not started metformin). When I started metformin; I had an adverse reaction and was ordered to stop. A month later my averages are about 108 my fasting is 81-95 and my 2-hour postprandials are almost always below 120 unless I load up on carbs; then they can go anywhere from 125-160 and this is all without medication. Should I demand a retest?"	2012	2012	19	Male
Metformin+diabetes+type+2	Hello; My husband was diagnosed with Type 1 at age 29. Thanks to Lantus; Metformin and a very smart diet he has his numbers under control & very rarely has issues. We had our son just months before he was diagnosed and had always planned to have a second child. Now we have reservations about growing our family. What is the lieklihood that our children will inherit the disease? Would it be irresponsible to try for another child? How do other couples make this decision? Thanks; Confused Mom	2010	2010		Female
Metformin+diabetes+type+2	Hello; my name is Linda; I live in Australia. I have had Rheumatoid Arthritis for five years with cortisone steroid injections for the first four years. Not once did anybody bother to monitor my blood sugar levels; and I was unaware that they could be affected by them. I have recently been diagnosed with High Blood Pressure; and Type 2 Diabetes; my Doctor was aware of all the medications I was on. I was taking Prednisolone 5mg for 1 year; Diclofenac 50mg twice daily for five years; and Perindopril 8mg once daily for a month. About two weeks ago; after feeling sick from the cocktail of medications I was taking. I made a rash decision to ditch all of them except the High blood pressure medication; my blood pressure was 150/109. Since doing so I feel amazing. Four months ago I decided to change my eating habits; quit a 20 year addiction to Coke Zero and started exercising everyday about a month ago; this was very difficult to start with RA; but I already feel amazing differences in my fitness. I have gone from 315 to 292.9 pounds. Since being diagnosed on the 22nd October this year I have cut out all trans-fat products; all artificial sweeteners; and anything made from a factory. I have noticed radical improvements in my weight loss. Half of my weight loss has occurred in the last week. Getting back to my diagnosis; with my OGTT my fasting score was 126; and two hours later it was 257.4. My doctor immediately put me on Metformin 500mg twice daily. He did not discuss any attempts for me to try to manage with diet and exercise. My mother developed Diabetes 4 years ago; she lost 132 pounds and manages her diabetes well. I borrowed her level checker and have been testing myself at fasting; and 2 hours after each meal. My fasting was 108/108/113/95. My 2 hours after lunch were 104/88/91. My 2 hours after dinner were 93/108/122. I read diabetics are unable to come down to fasting levels before a three hour period. Is it possible that I was misdiagnosed? Sorry about the length of the question.	2012	2012	40	Female
Metformin+diabetes+type+2	"Just watched a short clip on CNN that says based on a population based study; (whatever that is) we have an significantly increased chance of developing diabetes 2. Not a lot of meat to the article and it wasn't even specified whether it was related to interferon use or not. Now; I'm wondering if some of the symptoms I've been feeling is NOT fatigue from Hep C; but diabetes 2. I know I gained too much weight back after failing treatment in 2003; but I am still pretty active and push myself a lot to do THINGS; mow the lawn; take the stairs; etc. Does anybody else wonder about diabetes 2? Sometimes; I get a kind of dizzy feeling; sort of woozy; but it passes quickly. I watch the sugar I eat; but still have a popsicle every day. I'm working on losing 30 lbs; I lost 50 lbs during tx but gained it all back over the last three years; it was quite insidious; very slowly creeping back to my bu tt and thighs. It pops into my head that I am carrying around 30 extra 1 lb. new york strip steaks and no wonder I am freakin tired. I've upped my veges and fruit and have cut back seriously on portions. So I'm thinking I need a glucose meter; take the blood sugar now and then and see what's up. Every once in a while; I will read something that talks about ""insulin-resistance"" and am wondering if this is one of the gifts left to me by IFN. Anybody have any experience with this? Let me know; before I go see my GP; I need to know what to tell him. He is very scared to treat me because of his lack of knowledge about Hep C and is always grateful when I tell him what I need. Sad situation; but my infectious Doc is in Seattle; about 300 miles away. So I am on my own and I don't know about the rest of you; but since I was diagnosed with Hep C; a lot of my treatment has been in my own hands; my own research and I'm glad to do it. Willows"	2006	2007	55	Female
Metformin+diabetes+type+2	I've been diagnosed with PCOS recently and will start Metformin and Clomid. I've heard the chances of having a healthy pregnancy with these meds are 40% for PCOS women which isn't too bad but wish it was more like 80% : ) Just wanted to hear any success stories to help cheer me up. Thanks	2006	2006		
Metformin+diabetes+type+2	Many scientists believe that diabetes can be prevented. Because the causes of type 1 and type 2 diabetes are different; approaches to preventing each form of diabetes are different. Type 1 diabetes is thought to be caused by an allergic-like reaction; probably to insulin; the pancreas; or some substance in the pancreas. If this is true; then it is likely that diabetes can be prevented by giving the vulnerable person miniature shots of insulin; a great deal like allergy; shots may avert fever. This advance has been triumphant in animals that were bred to acquire diabetes. However; this approach was not successful in a National Institutes of Health clinical trial. Other approaches; such as oral insulin; are still being investigated. Type 2 diabetes does not appear to be founded by an allergic response. The cause is probably related to a hereditary defect that reduces a person’s sensitivity to insulin. New medications used early on may avoid type 2 diabetes. In addition; lifestyle changes; including exercise and weight loss; may prevent it. The Diabetes Prevention Program has recently shown that diet and exercise prevent the incidence of diabetes by about 60%; with the oral medication; metformin; preventing about 30%.	2010	2010		Male
Metformin+diabetes+type+2	"I am a 50 year old man and have been diabetic for 5 years now; I have also been diagnosed with hypertension about a year ago. When I was diagnosed I was 5'9"" and 180lbs. and in decent shape. Diabetes is rampant in my family with both my parents and half of my grandparents and plenty of my uncles and aunts are and were diabetic so I know genetics is a big factor here to. I have just started a diet and exercise regime where I'm eating less than a thousand calories a day( no starches; pasta or other high carb food only oats and lean meat and green veggies) and working out with weights for 1/2 hour the running for a half hour ( I can still bench 250 and run a 6 1/2min mile). My next A1c check is in June and I'm hoping that my A1c will be under 6 but half of this one will be before the diet started so I will be patient and also wait till the next and hopefully it will be closer to 5.5. I am on glyburide 5mg 2x a day and metformin 1000mg 2x a day and just started losartan 50mg once a day. Was taking lisinopril hctz 20-12.5 once daily but had some side effects that I didn't like. I was wondering if by doing this I could put my diabetes into remission like some of the participants in the Newcastle study did or if genetics might have me screwed. Has anybody else had any experience with being able to get off there meds with a lifestyle change. I know according to the charts I was overweight by about 12 lbs back then;I wasn't going to the gym at that time but I was far from a couch potato. I'm not sure what is causing my insulin resistance and hbp. I'm just very unhappy with how things have turned out. Turning 50 has caused me to rethink my thoughts on taking meds and winding up like my most of my relatives who take 10 or so meds daily. Three to me is three to many. I was hoping my biggest mid life crisis decision would be what type of sports car to buy not this. Any personal experiences with being able to get off meds or not would be greatly appreciated. Thanks"	2016	2016		Male
Metformin+diabetes+type+2	Any suggestions on better or not so better meds to treat beginning stage of type 2 diabetes? There appears to be many. All have different side effects; etc... I think my exercise and diet plan has held me off meds so far; but later showing higher glucose levels AM (>150) etc...	2008	2010		Male
Metformin+diabetes+type+2	I am on 500 mg of metformin once a day. My doctor said my a1c said above 15. I already have nerve damage and other symptoms. I want to know if this an appropriate treatment; and when i can expect my glucose to return to normal. Also they said my vitamin D levels were extremely low; is that caused by the diabetes? Also; i'm bewildered by this. But they said after my high a1c test; i got blood drawn 10 minuters later; and they said the results of that blood test is that my glucose levels were low 10 minutes later. Can anyone explain this?	2016	2016	24	Male
Metformin+diabetes+type+2	I have Diabetes II. I am not overweight. I don't need insulin. Sometimes I eat too much fruit and have blood sugar of 160 three hours later. I feel hungry a lot even when I should not be hungry. I think diabetes does this to us. I am thinking about going on the HCG diet; without the injections. Would that benefit me; or should I use the injections too. I would like to her from other diabetics who have used HCG diet; with and without the injections.	2009	2009	63	Female
Metformin+diabetes+type+2	"I was diagnosed with this I guess about seven years ago. I'm at stage three. 60 years old; male. Geno type 1. Pegasus was mentioned. I haven't asked further as I wanted to review the treatments. Peg-Inton with Rebatol was mentioned as possibly more effective.. but I'm not really sure what exact treatment the Dr. talked about. 48 weeks was suggested. A 30% chance was suggested. I'm talking this over with my family doctor first; but fully expect to jump in. I have only one symptom; which is really mild. Occaisional sort of stabbing in the liver area; lasts about a few seconds.. lays way back.. may repeat one or two times.. and is over in minutes. Never hangs on. Isn't daily. sometimes I go weeks with nothing at all. 48 Weeks seems a long time.. and I'm wondering about the side effects; and how they will affect my daily life. I also wonder if the treatment of those side effects isn't also troublesome in ways I'm not aware of; drugs being what they are. How knocked around should I expect to be during this? 160 lbs; 5' 10"". I am hypothryoid; but it's been perfectly managed with no trouble for 20 years. I'm also diagnosed type II diabetes; but no meds or symptoms. Diet and Exercise with some supplements has given me consistently good tests. For all these conditions; I still feel just fine every day. If I didn't know I had them; I wouldn't know I had them! Any comments appreciated."	2009	2009		
Metformin+diabetes+type+2	Does anyone know where I can get information about diabetes onset with Hep C treatment? My husband has been on PEG-Intron for 13 weeks with excellent results. Two weeks ago I rushed him to the hospital violently ill. His blood sugar was 500 and he had diabetic ketoacidocis. Last week the same thing happened only he went into diabetic shock. He was just released yesterday. There is absolutely NO diabetes in his family ANYWHERE. He is 53 and now on 4 shots a day of insulin. None of the myriad of Dr's he has seen have any idea what is going on. Their words are; baffled; mystified; cunundrum; etc. Well SOMEONE; SOMEWHERE must know something! HELP!!!!!!!!!!!!!!!!!!!!!!	2005	2005		
Metformin+diabetes+type+2	So I was diagnosed with type 2 diabetes when I was 16; I am now 20 and my doctors are telling me I may be a type one. Because my previous doctors bases it on my meds. So; I want to know if this is possible? And has anyone else been misdiagnosed?also. Is it based on blood or meds?	2016	2016		
Metformin+diabetes+type+2	"All right; I'm getting mixed messages. My glucose; serum is 117; my A1c is 6.6. I'm going to be 49-years-old in two weeks; I have been overweight and obese off and on since age 33. Last year; give or take a month or two; and before that my blood sugar has always been ""normal"". I ended up with high blood pressure; for the 1st time; about two years ago. I seem to be in full menopause; since October 2011. The doctor said exercise and losing weight will REVERSE my diabetes diagnosis/reading; and I will be able to go off the oral medication she is giving me? Another person said there is ""no way"" to reverse diabetes. My only family members with diabetes was my paternal aunt and uncle. No one else has ever had it. Thus; could it be a fluke reading? Am I curable? Should I get a 2nd opinion? The doctor didn't even tell me to test my levels or give me a particular diet to follow -- she just said I should lose weight and will be able to go off meds."	2012	2012	48	Female
Metformin+diabetes+type+2	i was diagnosed with per diabetes and they put me on metformin!! im so mad i did everything to stay away from this and here i am very close to have the type 2. can someone help me or explain to me how this happens? i was craving sweets for a while then i wanted nothing but salt..	2008	2010	37	Female
Metformin+diabetes+type+2	My 6 year old grandson was recently diagnosed with type 1 diabetes. He was admitted with a blood sugar level of over 2500. After 3 days in intensive care; his CK level rose to 78;000. He tested negative for the diabetes antibody. Two days ago; after 10 days in intensive care he was moved to the regular pediatric floor however his ketones are still at 2000 and the doctors are puzzled why they keep going down then up for no apparent reason. His blood sugar levels vary (400 down to 150) based on what he eats and how much insulin he is given. Still working our the kinks in getting him stablized. Does anyone have any idea what else may be going on to cause all this? We are puzzled and concerned that he may have something else going on that is being missed. He has been checked by the infectious desease doctors. Any ideas; helpful suggestions would be greatly appreciated.	2008	2008		
Metformin+diabetes+type+2	I am a type 2 diabetic with readings between 7-9 (fasting). I am on 3- 500mg metformin which really don't seem to do much in terms of bringing my blood sugar down. Are there other proven and safe medications which may work better to stabalize my blood sugar levels. Do you have any suggestions based on your personal experiece or observations of other patiance or relatives. Thanks Len	2009	2009	55	Male
Metformin+diabetes+type+2	My glucose level one hour after dinner was 260. At two hours after dinner; it was 222 (I know; I know....I shouldn't have had the pizza and popcorn). My fastings have been recently up to 118. Should I be on medication? What levels do most doctors look at when determining to put their patients on medications? I was dxed via the O.G.T.T. going on 11 years ago (I was not pregnant...it was ordered after a routine physical found my fasting at 113). Those results were: fasting 97; 1/2 hr. 220; 1 hr 218; 2 hrs 219; 3 hrs 115. I've lost 30 pounds and kept them off since then and have experienced normal levels (fastings around 97; and under 140 most of the time; sometimes over 200 depending on what I ate; and most a1c's in the 5's). Over the past 6 mos; I've had fastings up to 118. I'll be going in for a new a1c and other bloodwork soon. My last a1c in July was 6.1%. Advice would be appreciated. Thanks; Debbie	2012	2012	52	Female
Metformin+diabetes+type+2	Hello ladies ; introduction of me : My name is Amanda I'm 25 years old wife (Aaron ) and Mother to two handsome boys (Craig -9 and James-5) also looking to meet other mom's and women who are going through the same thing! Really need advice because I'm really worried and scared as to what is going on with my body! Thanks for taking the time to read the above info: This is rather long so please bare with me I'm sorry about it being so long: Here is my question I'm new to the pcos I actually just found out Wed I do indeed have pcos ; I had been seeing a ob since 2004 which at that time I had my second son the past couple of years seemed fine but my periods just went obsalete and it took me until now with the new obgyn to get answers! They did my blood work last friday and the new ob called me wed to let me know the results he said due to my insalin being up there ( excuse my typo's) he can go ahead and diagnose me with pcos ; he had put me on Provera that made my third time being on that I told him in the past it didn't help but he still insited me try it again so I am ; Well Wed he told me he would like to put me on Metformin which I just picked up last night ; I never been on this medication so I'm not really educated on this ( I hate taking any type of pills) ; So I looked it up on the net and it says its for type 2 diabetes but has been given to women with pcos so I was like ok then there was a rare condition called lactic Acidosis but apparently not common ; so that had me worried a bit ; also he has me on this for 12+ months taking this ; I didn't know that this drug was going to be taken for a long period of time; so that meaning do I have to take this for the rest of my life ? ( he didn't say anything of the sort to me ) He did say this would help me with my weight problem and I would have to becareful because I could get pregnant with this medication which we want to try for another baby but not until I lose some weight ( due to highblood pressure ) with my last pregnancy they had to induce me last time due to that;! Now here is another kicker : I was reading it said to watch my blood suger levels ( obgyn never said anything over the phone ) does that mean I have to check my blood suger everyday ? is there certain types of things I need to watch out for like food wise I don't drink beer or wine anything like that! Any help would be great thank you for taking the time to read all this Thank you ; Amanda	2006	2009	24	Female
Metformin+diabetes+type+2	Hi. My name is Summer. I am 30 years old. In November 2008 I went into the hospital with pancreatitis. I knew nothing about pancreatitis before that day but that day changed my life forever. I went into the emergency room 3 times before they finally figured out what was wrong and admitted me. Once they realized the severity of my condition they said if I had waited even 24 before getting treatment I could have died. I was there for 10 days. I spent my 30th Birthday and Thanksgiving in that hospital. I couldn't eat or drink anything for 8 of those 10 days. When I got out I was put on a low fat diet. Tricor to lower my Triglycerides and Metformin to Control my Diabetes. I went through extreme frustration and felt overwhelmed and at times I still do. I never really worried about what I ate before that so now not only watching my fat but also my sugar and carbs is very difficult. Since I've been on the low fat diet my weight has gone from 186 to 146. My family has very low income and there are periods of time where I have to go without the Tricor because we can not afford the $150 dollars a month. I started using NuvaRing in July of 2008. I started having problems of missed periods and horrible cramping pains that had never been that bad before. A few days ago I went online to try and search what could be causing these problems and if they were normal. I found this under possible side effects: In women with inherited defects of lipid metabolism; there have been reports of significant elevations of plasma triglycerides during estrogen therapy. This has led to pancreatitis in some cases. I stopped using the Nuvaring immediately. Never during that whole time I was in the hospital or months afterwards did any doctor link the pancreatitis to the NuvaRing. I remember having bleeding in the hospital a week early even though the ring was still in. At that time I just thought it was because of the catheter and the nurses did not think it was anything to worry about. My questions are: 1. If the Nuvaring was what was elevating my triglycerides is it possible they will go back to normal and how long after being off them should there start to be a difference? 2. Is it possible that if the Birth Control was causing elavation in my triglycerides could it also be causing my Diabetes? Thank you; Summer	2009	2009		
Metformin+diabetes+type+2	My mom who is 93 and suffers from type 2 diabetes. She went into a care home five months ago weighing 9stone 4lb. Her weight has increased to 10stone l0lbs in that short time and she is very uncomfortable and breathless. Prior to her admittance into the home she was in hospital and before she was discharged the ward doctor reduced her Metformin from 2 tablets a day to one. Could this be the reason she is putting on so much weight so quickly? I am really worried; as I no longer have control over her health issues; as her GP has been changed to the practice the home has for all their residents and she has not seen this new GP since she moved in. Any suggestions; anyone?	2015	2015		Male
Metformin+diabetes+type+2	Greetings During a yearly check-up; my bloodwork showed higher than average glucose levels (7.1). I was then asked to take a GTT ( 2 hour) and the lab results came back as 10.8! My husband is a Type 2; uses insulin and has glucose monitors. They do appear to be working. So; for the past 4 weeks I have been taking morning readings and after meal readings and they are in the 4-6 range which I gather is normal. The A1c test registered 5.6. My GP is convinced I have diabetes and when I did a follow-up appointment and showed her my levels that I put on a spreadsheet; she said she didn't have time and dismissed my concerns and queries. She wanted to put me on Metformin even before the A1c. Is it possible that the first two tests were wrong? I have another appointment with a new GP who was highly recommended to me and I would like a second opinion. It is not that I am in denial; more like the lab findings and the weekly/daily readings tell me something otherwise. This is rather perplexing. Anyone else have this experience? I suppose I would rather this scenario be a proverbial wake-up call than something definitive for the time being. Thank you.	2010	2010		Female
Metformin+diabetes+type+2	I have type 2 diabetes for about 2 1/2 years now and my medicines have been working until recently. About 2 weeks ago; my blood sugars have been higher than normal; between 200 and 400 all day. Normally they run about 70 to 200. There has not been any unusual stress; nor have I been ill; occassionaly I have eaten things I should not have or more than usual; but not excessivly. I did the same with the food around Thanksgiving and it did not affect the blood sugars like this; I had the occassional high; but not daily and all day like now. A couple of days ago I started to feel shakey; thirsty; urinating alot; nausea; headache; blurred vision; I called my Doctor and he said to go to the Emergency Room to have my urine checked. At the ER; they checked my blood sugar and it was 475; they gave me IV fluids and a shot of insulin which brought it down to 214 two hours later and down to 61 by the time I got home 6 hours later. At that time; I ate dinner and it went up to 89 after dinner; but before bed it was back up to over 200. What else can cause the sudden change in the readings being so high? I take my medicines everyday like I am supposed to. I am not on insulin.	2007	2007		
Metformin+diabetes+type+2	"I am concerned for my daughter in law. She has not been diagnosed with diabetes (adult) but the doctor says she is borderline and has a ""marker"". The doctor put her on diabetic medication anyway. I feel this is wrong and her body will become dependent on the medication so she will need it. I think she is at a point where it can be controlled by healthier options. I have mentioned this to her; she is watching her diet now and not eating a lot of sugar; but it really doesn't mean anything coming from me. I think she is being ""set up"" to be dependent on medication. Please give me your thoughts so I can pass them on to her. Also; is a ""marker"" nothing more than "" other family members have had it? Thanks you for your insight. Karen"	2006	2006		
Metformin+diabetes+type+2	Hey; welcome to the busiest board in the group; I bet. I tried Pegasys tx in 2002 with viral breakthru at 30 weeks...lost about 40 lbs but have since gained it back. I'm going to the gym and have RADICALLY changed the way I eat......but have a question.........when NASH is combined with Hep C; how much more scared should I be as far as the condition of my liver? I'm dieting and exercising...and the pounds are going away very slowly (five pounds in two months) ; but should I be working harder? No diabetes type 2...never been a drinker....other than having hep c; i have no health issues. Are there any symptoms of NASH? My last biopsy showed something like 20%....my doc was pretty laid back about it; but he's pretty laid back about everything; so I got busy myself. Just wondering if I am on the right track; he didn't really have any advice. Willow	2006	2008	56	Female
Metformin+diabetes+type+2	"not really a question;... just wanting some opinions... I figured when she told me ""all of my patients clear"" ; she meant the ones that last the duration of 12 weeks with svr.... well duh... .. talk about spin. cw - I am exercising now on a treadmill that they have set up for the teachers where I teach.. even has cable tv! very cool. my glucose is still high in the morning; 110-120; even thought the metformin has been doubled and I am exercising... maybe it takes awhile? HI apache! yeah; i remember all that. I am just hoping and praying that IR is the reason I failed. As far my doctor goes... of course I am getting a new one... and am seriously thinking of trying to talk my pcp into treating me; as he is quite open to all options. I think he would probably do anything I asked as long as I can back it up with studies ; etc. It is just too hard to run around trying to find a gastro or hepa that is willing to work a little outside of the box... many seem to be content with just following standard protocol.. I guess they reluctant due to lawsuits. My liver doc does want me to come back in ; in april for an ultrasound... probably worthless; although I have had an ultrasound tech that an ultrasound will show a fatty liver as well as liver cancer. I am going to try an wait on the polymerase/protease inhibitor combos for round 2. I just don't have much faith in the infergen; or a retreatment with riba/inf. any opinons? thanks; bandman"	2008	2009		Male
Metformin+diabetes+type+2	Dear Doctor; I am a 48 year old Indian male; suffering type II Diabetes since seven plus years. Doctor has advised 1. Trigem-2 (Glimepiride USP 2mg + Metformin HCL IP 500mg + Pioglitazone HCL 15 mg) morning before meal. 2. Cresar H (Telmisartan 40mg + Hydrochlorothiazide IP 12.5mg) Once a day. 3. Voltaneuron (Benfothiamine 50mg + Methylcobalamin 500mg + Pyridoxine HCL 30mg) Once a day. 4. Stresstabs once a day Eventhough; my sugar levels are 150-200 fasting and above 200 pp. My job is mostly sitting. I have severe pain in my legs; knee joint and pain/numbness in tips of my fingers (always in feet fingers). Burning and itching sansation in the skin whole body. cramps and flickering jolts in the soles and feet finger tips. I had severe abdominal pain due to Duodinitis 4 years back. Please advise to overcome these pains. It has become unbearable now...Thanks in advance	2008	2008		
Metformin+diabetes+type+2	I am a Type 2 diabetic for 10 years and on Diamicron (4 tabs) and Metformin (3 tabs) medication daily. My glucose tests has dropped from range of 14-16 middle last year to range of 6-8 this year. Latest Hb1Ac is 6.5 done 2 weeks ago. Beginning this year; I realised I have pain on right side of my body just below the rib cage. Its like needles poking from inside my body. When I walk I feel the tightness around the area and esp after meals; but it will go away after a while. Now the pain is spreading to the other parts of the body on the right side. I find difficulty even wearing my clothes as the pain is sensitive to even my clothes. I am also suffering from erectile dysfunction. I have done ultrasound test; chest x-ray for other major organs and all is ok. I went to see a neurologist who gave me gababentin to help me to sleep as suspect could be my nerves. My neuro mentioned that could be nerve regeneration and to control my diabetes. Gabapentin is costing me a lot and I am not sure how long I need to take this med. Any other forms of help/info - like physiotherapy- to reduce this pain is appreciated. Thank you I need some information and help. Thank you.	2008	2008		Female
Metformin+diabetes+type+2	Dear Doctor; I am a 48 year old Indian male; suffering type II DiabetesDiabetes Diabetes - resources Diabetes and exercise Diabetes and nerve damage Diabetes diet Diabetes foot care Diabetes insipidus Diabetes insipidus - central Diabetes insipidus - nephrogenic Diabetes risk factors Gestational diabetes since seven plus years. Doctor has advised 1. Trigem-2 (GlimepirideGlimepiride Glimepiride-pioglitazone Glimepiride-rosiglitazone USP 2mg + MetforminMetformin Metformin-pioglitazone Metformin-rosiglitazone Metformin-sitagliptin HCL IP 500mg + Pioglitazone HCL 15 mg) morning before meal. 2. Cresar H (Telmisartan 40mg + HydrochlorothiazideHydrochlorothiazide Hydrochlorothiazide-irbesartan Hydrochlorothiazide-lisinopril Hydrochlorothiazide-losartan Hydrochlorothiazide-methyldopa Hydrochlorothiazide-metoprolol Hydrochlorothiazide-moexipril Hydrochlorothiazide-olmesartan Hydrochlorothiazide-propranolol Hydrochlorothiazide-quinapril Hydrochlorothiazide-reserpine IP 12.5mg) Once a day. 3. Voltaneuron (Benfothiamine 50mg + Methylcobalamin 500mg + Pyridoxine HCL 30mg) Once a day. 4. Stresstabs once a day Eventhough; my sugar levels are 150-200 fastingFasting glucose tolerance test Glucose test - blood and above 200 pp. My job is mostly sitting. I have severe painAbdominal pain Abdominal pain diagnosis Alternative medicine - pain relief Ankle pain Anterior knee pain Back pain - low Bone pain or tenderness Breast pain Causes of painful intercourse Chest pain Chronic pain - resources in my legsLeg lengthening/shortening Leg pain Leg pain (osgood-schlatter) Shin splints; kneeAnterior cruciate ligament (acl) injury Anterior knee pain Bursa of the knee Dermatitis; herpetiformis on the knee Knee arthroscopy Knee arthroscopy - series Knee joint replacement Knee joint replacement prosthesis Knee pain Kneecap dislocation Meniscus tears jointJoint fluid gram stain Joint pain Joint swelling Osteoarthritis and painAbdominal pain Abdominal pain diagnosis Alternative medicine - pain relief Ankle pain Anterior knee pain Back pain - low Bone pain or tenderness Breast pain Causes of painful intercourse Chest pain Chronic pain - resources/numbness in tips of my fingersAmputated finger Amyloidosis on the fingers Clubbed fingers Cryoglobulinemia - of the fingers Finger pain Herpes zoster (shingles) on the hand and fingers Janeway lesion on the finger Kawasaki's disease; peeling of the fingertips Nail abnormalities Replantation of digits Ringworm; tinea manuum on the finger (always in feet fingersAmputated finger Amyloidosis on the fingers Clubbed fingers Cryoglobulinemia - of the fingers Finger pain Herpes zoster (shingles) on the hand and fingers Janeway lesion on the finger Kawasaki's disease; peeling of the fingertips Nail abnormalities Replantation of digits Ringworm; tinea manuum on the finger). Burning and itchingCauses of vaginal itching Eye burning - itching and discharge Itching Jock itch Muscle twitching Vaginal itching sansation in the skinActinic keratosis Aging changes in skin Allergy skin ***** or scratch test Allergy testing Basal cell carcinoma Birthmarks - red Cellulitis Circumcision Cutaneous skin tags Dry skin Fair skin cancer risks whole body. crampsAbdominal pain Leg pain Muscle cramps Painful menstrual periods Relief of menstrual cramps and flickering jolts in the soles and feet fingerAmputated finger Amyloidosis on the fingers Clubbed fingers Cryoglobulinemia - of the fingers Finger pain Herpes zoster (shingles) on the hand and fingers Janeway lesion on the finger Kawasaki's disease; peeling of the fingertips Nail abnormalities Replantation of digits Ringworm; tinea manuum on the finger tips. I had severe abdominalAbdominal ct scan Abdominal exploration Abdominal film Abdominal mass Abdominal mri Abdominal pain Abdominal pain diagnosis Abdominal rigidity Abdominal tap Abdominal ultrasound Abdominal wall surgery painAbdominal pain Abdominal pain diagnosis Alternative medicine - pain relief Ankle pain Anterior knee pain Back pain - low Bone pain or tenderness Breast pain Causes of painful intercourse Chest pain Chronic pain - resources due to Duodinitis 4 years backBack pain - low Back strain treatment. Please advise to overcome these painsAbdominal pain Abdominal pain diagnosis Alternative medicine - pain relief Ankle pain Anterior knee pain Back pain - low Bone pain or tenderness Breast pain Causes of painful intercourse Chest pain Chronic pain - resources. It has become unbearable now...Thanks in advance. Javed Abdulazim	2008	2008		
Metformin+diabetes+type+2	My Mom has type 2 Diabetes from over a decade. Also; she is patient of high blood pressure. She is on bloog sugar medications like Metformin; Glimipride and Telmisartan; Amlodipine tablets for high bp Daily. Now; she has many complications of Diabetes including Diabetes Neuropathy; eyes issues like cataracts; osteoarthritis etc. she also has complications in her back/spine. Now; her doctor has not recommend any special multivitamin apart from diabetic die;t. Now; my question is tnat can she take the following supplements on her own:- Vitamin C Vitamin D3 Vitamin E Omega 369 complex capsules Coenzyme Q10 Magnesium Vitamin B2 Lutien for eyes. She will start these with low potency? Can this harm/hurt her diabetes in any way? Thanks!	2011	2017		Male
Metformin+diabetes+type+2	I am Diabetic Type 2 on Metformin and Hydrochlorothiazide for blood pressure. I have on occasion had fluttering and skipping in my heart beats and shortness of breath that comes on when my heardt acts up. (not neccesarily with exertion) It seems to happen along with pms type symptoms. Bloating; abdominal cramping; depression....and then slight spotting. I have had pelvic ultrasounds...normal; echocardiogram..normal. What could be going on? I tend to have them at the first part of the month; sometimes monthly sometimes several months apart. I am 54 and have not had a period for 8 years now. Some times it lasts for about an hour and sometimes it last for 3 to 4 hours and will be very painfull. Like very severe menstral cramps and coming on like contractions in labor. my blood pressure goes way up ..150/120 and I feel extremely tired and sweaty. Then it all just sort of goes away. Then I will have slight spotting.	2010	2011	54	Female
