Drug,Content,Joined,Posted,Age,Gender
Lisinopril+hypertension,I am a 25 year old female. I have never smoked. I drink maybe 3 times a year. I have been having chest pains over the past couple of hours. It has been a steady pain....(7-7.5 on a scale of 1-10)... I've had a little bit of pain in my shoulder as well...What could be causing this? I am 5'8" and I weigh 260. I do have high blood pressure and asthma; (i take Lisinopril and Albuterol for those). My BP has still been running high; although I was just switched to Lisinopril from Propranolol 4 days ago. Should I go to the ER?,2010,2011,25,Female
Lisinopril+hypertension,Can xanax;Lisinopril with diuretic;clonodine .1mg; vytorin;an asprin a day;tylenol arthritis cause lighted spells.I heve TMJ;high blood pressure; areally bad neck with two fused disks or vertibraes I dont know which because I cant afford to go to a neneurologist.I also have fibromyalgia;anxiety and panic attacks.I cant use my shoulders much to do anything it makes me lightheaded..I also have osteoarthritis;degenerative bone disease;insomnia ;my eyes are also very bad.Iam telling you that I dont know which way to turn. Ijust wondered if any of these meds.or problems I have could cause light headedness and electrical like currents in my head and body sometimes? sorry to bother you but dont know what to do. thank you bjwhite,2007,2007,59,Female
Lisinopril+hypertension,I have recently had a nuclear scan to find out why I have hyperthyroidism. I am told that it appears to be Graves because of the size of my neck when examined. If my thyroid needs to be removed; how can I ensure I don't gain weight? Also; I responded to a gentleman who complained about a consistent tickle in his throat that sometimes leads to throwing up a white mucus...the exact thing happens to me DAILY. My hope is that once I"m treated; it will go away. Initially; my doctor told me that it was a reaction to Lisinopril that I was taking for hypertension; but it did not go away weeks after being off of Lisinopril. In fact; I learned that it may be the thyroid that is causing the hypertension in the first place. But anyway; I just wanted you to know that the tickle and throwing up white spit-like mucus is actually a symptom (at least for me it is) of hyperthyroidism.,2007,2008,,
Lisinopril+hypertension,my doctor change md start atenolol ;lisinopril ;avapro ;lotrel ;toprol-xl ;coreg cr ;now bystolic I am 69 the reading vary from 155/83 to 177/94 the problem is the pressure is lower without the medication 142/83 162/93 kidness are ok. wheigh 195 pounds .,2008,2008,,
Lisinopril+hypertension,Hi; I was diagnosed with primary hypertension a year ago and since then have been on Lisinopril hctz and have recently changed to Micardis 20 mg. Now my BP is not normally high on a daily basis but it raises after drinking alcohol. Now my question is if my BP is high the next day after alcohol even with my meds does that mean my med is not working and I should change or is it normal for alcohol to raise BP and meds not to come into effect? Also should I continue to take my BP meds even on the days I'm sober and when my BP is normal?,2017,2017,,Male
Lisinopril+hypertension,Is there anyone here that’s older 40+ that’s had hypertension at an early adult hood; or teenage years through life? If so what’s your age now and what helps your bp? Did lvh develope?,2013,2019,27,Male
Lisinopril+hypertension,I am currently taking 20mg prinivil for high blood pressure. Is upper back pain and muscle pain in the arms a possible side effect of it? Also; are there compounds similar to statin drugs in prinivil? ( I have taken lipitor and zocor for cholesterol and have had to forego statin drugs due to the severe muscle pain involved. )Thanks for your consideration.,2001,2001,,
Lisinopril+hypertension,I am 6'1"; 195 lb; 35 yrs. I take clonidine and lisinopril for high blood pressure. I take no other medications. I do not use drugs. I do not smoke. I do drink but not very much. I have taken up aerobic exercise; but I have had to discontinue it. Just a brisk walk for half an hour and my diastolic bp goes from 80 to 115. I get headaces. My eyes hurt. The level it reaches during exercise I don't want to think about. Both the diastolic and the systolic remain high (higher than before exercise) for 12 hours after exercise. The rise in my diastolic bp is NOT accompanied by any feeling of anxiety. I am CERTAIN I am taking my blood pressure correctly. What could be causing this? Please do not say "See a doctor." I've seen many and they just throw pills at me and dismiss my complaint.,2009,2009,,
Lisinopril+hypertension,Currently being treated for extensive multiple bilateral pulmonary embolisms with Xarelto. Hypertension is not being controlled adequately with Lisinoprol 20mg BID. Runs around 147/93 pulse 104 while sitting. They had me taking metropolol 25mg BID on top of the Lisinopril; but had to discontinue due to abdominal cramping; diarrea and major depressive mood swing; confusion and just a general feeling of being in a fog. Has body become so used to the Lisinopril that it's just not working any more? They want me to keep heart rate lower; but it's just not working!,2013,2013,55,Female
Lisinopril+hypertension,65yr old male with systolic hypertension on 20mg Lisinopril. Normal BP 135/65/70. Had RAI in 1997. Dec 2006 (synthroid reduced from .05 to .025mg) TSH .12 (.34-5.6 range) T4 1.13 (.58-1.64) March 2007 (taken off meds) TSH .27 T4 1.07 July 2007 TSH .20 T4 .98 November 2007 TSH .87 T4 .78 T3 3.6 (2.3-4.2 range) Twice now I have had spikes in my systolic blood pressure with increased pulse. Highest was 175 with pulse of 88; with diastolic pressure uneffected. I have had a couple of episodes of night sweats; some hot flashes; brain fog; episodes of constipation then loose stools. (normally have good bowel movements). Have episodes of fatigue; upset stomach; and feeling shakey. My questions are: can the thyroid hormone spike then return to normal giving me periodic symptomology? How long does it take for the thyroid to adjust to no meds? Finally there are no endocrinologists within 2 hours of me. Can an Internist be better qualified to help with this than my Geriatic doctor at the V.A.,2007,2007,64,Male
Lisinopril+hypertension,I am 29 yr; overweight and was diagnosed with MVP from an ECHO in Feb. The cardiologist referred me for further eval bc it also showed an est. EF of 45%. I took a MUGA scan in Sept which confirmed this. EF was 47.8%; I had also started Lisinopril from my visit 1-2 wks prior. I was then sent for stress thalium to rule out CAD in which it came back negative and an increased EF of 62%. I also have had symptoms of extreme fatigue very often; chest discomfort; inc HR; and swelling legs. The cardiologist believes my symptoms are most likely due to MVP and not a major heart condition. I would like to believe that and it does make sense from the literature but the reason as to why my EF was low in the first place is still unanswered. He also mentioned a virus could have caused the EF situation but I doubt a virus from Feb-Sept. He increased my Lisinopril to 20mg. What other conditions could cause my EF problems? The cardiologist says that EF fluctuates all the time but it is just odd to me that from Feb - Sept it is approx in the same range and only improved once I got Lisinopril. I never have been diagnosed with HTN but my BP did fluctuate alot meaning sometimes in the pre-HTN stage. Please advise as I am very frustrated that this is taking so long to find out what to do. I would love that it be simple as MVP but the EF bothers me. What should I do? They also eluded to f/u for CT diseases as a cause of the EF problems. I was tested some years ago for Lupus and sarcodosis when these symptoms 1st arrived but they both were negative. The swelling in my legs do not occur continuously but usually it occurs when I am not feeling my best and usually present w/ the fatigue.,2007,2007,,Female
Lisinopril+hypertension,can some one explain to me results of blood work just wondering whats going on NA 133 range 136-145 mmol/l BUN 20 RANGE 7-18 MG/DL eGFR =60ml/min/1.73m2 creatinine;serum/plasma 0.81 range 0.64-1.14mg/dl bilirubin total 1.0 range 0.2-1.0mg/dl total protein 7.3 range 6.4-8.2g/dl ast 42 range 8-34 u/l albumin/globulin ratio 1.3 range 0.8-2.0 bun/crea 24.7 range 10.0-20.0 result narrative says hemolysis present?,2012,2015,,Female
Lisinopril+hypertension,I've never had a history of high blood pressure until recently after a sudden death in the family. I've been put in Lisinopril 10 mg for one week and now on Lisinopril 10mg with Hydrochlorothiazide (HCTZ) 12.5 because it wasn't dropping as low as the PCM wanted (128/90s). I've read a lot of horror stories of HCTZ causing severe visual problems such as closed-angle glaucoma and other vision losses. Has anyone experienced this with BP medications such as the one mentioned?,2016,2017,,Female
Lisinopril+hypertension,I take propranolol 80 mg er once daily. Objective is to maintain a resting heart rate of 50-60 bpm since I have grade three varices caused from portal hypertension a symptom of stage C decompensated cirrhosis. Since beginning this new medications (taken before bed) I wake up many morning with my heart pounding really hard then after about an half hour it returns to normal. Could this be a side effect of the medication or something else? Thanks for any information. Randy,2010,2013,41,Male
Lisinopril+hypertension,hi i take spironolactone 25 mg 1ns day toprol 200mg 1ns day htz 25mg 1ns day clonodine 0.2mg patch lisinopril 40mg ins day amlododipine 10mg 1ns day for hypertension levothyroxine 25mg 1ns day for hypothyroidism ranexa 500mg 2se day for chronic chest pain. my blood pressure as been running in these numbers174/98-163/101-170/94-169/108-188/112-191/117-175/104-189/122-191/111-190/123-194/116 and on wednesday 01/23/13 i had my bp checked at my cardiologist office and it was 188/120 my question is how should this be dealt or handled with and should i be admitted to a hospital to deal with it i also have mvp/regurgatation 2 valve leaks pulmanic leak also just diagnosed with venous insufficiency right leg has tiny veins and valves left leg has small vein and valves,2009,2013,29,Female
Lisinopril+hypertension,I have a history of migraine; from classic with aura for two of my highschool years to transformed (no aura) beginning in midlife. I was referred to a neurologist when the new migraines - strictly on my right side - became severe and continuous. After trials of half a dozen preventives; we settled on lisinopril as the most effective for me. Concerned about my lower response to pin-***** on my left side; my neurologist sent me for a vascular MRI. results indicate,2003,2003,,
Lisinopril+hypertension,Hi! My daughter is a swimmer and runs track in high school (weight:115; height: 5'3) she was found to have high blood pressure while she was at the oral surgeon having a tooth extracted 205/135; we thought the machine was broke. the following couple of days her bp was aprox. 170/120. She is now seeing a pediatric nephrologist who has done blood tests; echo; and kidney angiogram all which came back negative. 1 1/2 months later she is on Norcasc 10 mg. and lisinopril 5 mg. which now is back in the normal range most of the time. Last October at her sports physical her bp was 115/67. So in the last 6 mos sometime her bp went crazy. My question is should she see a endocronologist or a Cardiologist even though the echo looked normal? This whole thing just seems so wierd. Her grandparents have high blood pressure but not at 15 years old. Thank You!,2008,2008,,
Lisinopril+hypertension,Today I experienced what appeared to be a "floater" in my left eye while I was reading. It would move when I moved my eye back and forth; I then thought it was a scratch on my cornea (without the pain) Two hours later I was walking to my kitchen when I saw a vertical line flash to the periferal of my left eye. I could make it happen by looking to the right; but not consistantly. I had monovision lasik surgery 5 years ago and have never had any problems. The left eye is my reading or near-sighted eye. I have no obstruction or change in my vision. I am 60 year old female RN; healthy; active; working in a hospital; no diabetes; I take a low dose of Lisinopril for mild hypertension. This discussion is related to Flashing light right eye only.,2008,2008,,
Lisinopril+hypertension,Had RAI in 1997; Was on .05mg synthroid until 2006. Taken off meds due to supressed TSH. My last labs showed elevated TSI and TPO antibodies; TSH 1.96 range .34-5.6. T4 .88 range .58-1.64. T3 3.6 range 2.3-4.2. I have been having transient episodes of muscle weakness mostlly in the legs; bouts of diahrea; a rash along my shin bone; get tired eaisly and when working in the yard it is harder to breath. I sometimes get light headed; and very warm when working and sweat alot. At first I had these episodes once or twice a year but have had 15-20 withing the past few month's. I have seen a geriactic dr and an endo who both say that the symptoms are not related to my thyroid because it is normal. Seems like hyper symptoms to me or am I going nuts. Heart; Liver; Spleen; Kidneys all are normal but am on Lisinopril for systolic hypertension and have occasional premature ventricular contractions. Could these symptoms be related to increased in TSI;TPO titer causing a transient surge in thyroid hormones???,2007,2008,65,Male
Lisinopril+hypertension,I am 42 year old male and having Hypertension since the age of 32. I have tried several Beta Blockers & ACE Inhibitors in the past 10 years. I used to change the medication every 2~3 years when they were found ineffective. Following is a list of medicines I have consumed in the order : Atenolol; Lisinopril; Enalapril & Bisoprolol. Recently when my BP was at a rate of 170/110; my doctor prescribed following medicines : Metpure XL 25 (Metoprolol 25Mg) & Arbitel-H (Telmisartan 40Mg). Now the BP at a controlled level. As I can understand it; first one is a Beta Blocker & other is an ACE-Inhibitor . But; after starting these medicines ; I feel very weak & exhausted . Though I have been taking different medicines in the past; I never felt so lethargic. I can't run a 100 Mtrs or climb a hill. Could it be the side-effect of the medicines or am I taking an over-dose ?,2009,2009,42,Male
Lisinopril+hypertension,60 year old male. 130lbs overwieght (currently dieting) Beeen taking Lisinopril 20ml twice day for two years. Atenanol 50ml once day and 80 ml asperin. Has previously controlled my hypertension/high blood pressure. The last week or so all my BP readings have been over 170/110. High was 198/118 yesterday morning. Went to emergency.They did an EKG; chest x-ray and heart enzyme blood test (twice) All looked pretty good except the enzyme test which I was told was ;"Slightly elavated". Dr. said normal was .33 and my bloood enzyme tested at .35. Not sure how to interprut that reading. He was first going to keep me until he heard I had had a chemical stress test 18 months ago that was clean at which point he told me I could go home but to double my intake of Lisinpril to 40 ml twice a day. My blood pressure does not seem to be coming down much though I just started with the increased dosage admittedly. I am stressing over results of enzyme test.Don't know how to understand the results. Can you shed some light? Thanks; SmilelinK,2009,2009,,
Lisinopril+hypertension,I received my echocardiogram back yesterday and on the findings I was diagnosed with stage I diastolic LV dysfunction; mild mitral regurgitation and mild right ventricular enlargement. I have hypertension that was diagnosed 2 years ago and I am on Lisinopril and it is controlled. My father had heart disease at 59 and had a CABG x3 with a vavlve replacement so this makes me a bit concern. I am only 40 years old. Should I be concerned? I exercise and try to keep my weight controlled and do not smoke.,2011,2011,,
Lisinopril+hypertension,My father is on a boat load of medications and i am worried that he is being over medicated. clonazepam; carbidopa; levodopa; requip for his parkinson's as well as potassium pill; furosemide; cholesterol pill; allopuinol; lisiniprol; ecotrin asprin; multi vitamin; and mometasone; furmoterol; albuterol inhalers. With in the past few days he has been hallucinating severly and my mother does not know what to do.,2010,2010,23,Female
Lisinopril+hypertension,I've been wrestling with a severe vertigo problem for the last 4 days. Went to see my PCP this AM who discovered my blood pressure is running high...130/100. I've NEVER had an issue with BP before. Usually; I'm the poster child for normal BP (120/60). In addition of putting me on Lisinopril 10 mg.; I had an EKG and am being sent to the "balance clinic" as I failed the "sobriety test" heel/toe walk and had a positive Romberg. I'm wondering about POTS - with hypertension instead of hypotension????? Any thoughts??? (Keep in mind I'm 8 months post op decompression and fusion skull to c2).,2011,2013,,Female
Lisinopril+hypertension,I am 25 years old and currently take Lisinopril for HTN. I have aortic valve disease. I am being seen by a cardiologist. I am having intermittent chest pain with frequent PVC's. PVC's sometimes cause very short dyspnea episodes. All of these symptoms cause anxiety and all I think about is something bad happening. I work on an ambulance and have seen way too many people ignore their symptoms and sometimes result in death. Should I be worried about the cardiac symptoms? Or should I be treated for anxiety? Thank you for your concern,2011,2011,24,Male
Lisinopril+hypertension,Dear Doctor; What percentage of your patients have had positive outcomes with Tambocor(flecanide) for the treatment of paroxyamal A-Fib? What would you advise a patient that wants to stay on a beta blocker(metropolol) and a baby aspirin instead? HX.76 YO female; hypertension under control with 2.5mg lisinopril; polycystic kidney and liver syndrome= functionWNL;mild hyperlipidemia. Had problems with coumadin. Thank you; your opinion helps me make thoughtful decisions. This is to help my mother.,2012,2012,,Female
Lisinopril+hypertension,my blood p went way up the other day..had to go to the er 220/120 p68..then the next day my doc put me on clondine for b.p.; and i was already on lisinopril now this 0.1 2 -times aday.. i have a low heart rate anyways..70;;when i take these pills it takes it to 52-58 or so..is this too low..my blood p runs on the meds at 135/70 or less..it makes me tired ...can you answer me on this please...tku james,2008,2009,46,Male
Lisinopril+hypertension,I recently visited a Cardiologist due to experiencing left sided chest aches. This is not the first time I have visited a Cardiologist as I underwent a Nuclear Stress Test in 2010 (Which came back normal) Continuing to experience the aforementioned chest discomfort I visited another Cardiologist as the former had relocated his practice to another state. Anyway; this time (two weeks ago) I was given yet another Nuclear Stress Test and an Echo. Went back to the doc and received what I perceived as good news / not so good news. Normal Nuclear Stress Test; and “Moderate” thickening of the heart muscle. That is all I remember unfortunately but if I understand correctly this is called Hypertrophic Cardiomyopathy correct? Anyway; I am a 41 year old white male; no diabetes; no kidney issues; and take Lisinopril and Cardizem. Doc says he wants to see me a couple of times a year for BP / weight check (I’m kind of a big guy) Question is: Do I need to freak out about this? Or is this something that comes with age etc.,2011,2013,,
Lisinopril+hypertension,Heart attacks and heart problems run in my family. I am morbidly obese and I don't want any of the happening to me. My mother died at 34yo of a heart attack. I see good news about Krill oil all the time. SO my question is; is it safe for people with already poor health? I have T2 diabetes Hypertension High cholesterol Hypothyroidism PCOS Anemia Vitamin D deficiency Asthma I am currently on these medications albuterol (not taken often) Insulin NPH (only when glucose is high around 300+) Simvastin 20mg Lisinopril 40mg Vitamin D 1000mg daily,2013,2014,22,Female
Lisinopril+hypertension,Good afternoon everyone. I'm currently taking Metoprolol 75 mg; Lisinopril 5 mg; Methimazole 10 mg twice a day. I've been walking everyday for 30-45 minutes but recently I've been feeling so tired. I'm tolerating all my medications and my BP has been within normal range. My endocrinologist increased my Methimazole to twice daily in the hopes that when I redo my lab panel my thyroid levels will be within normal range. I have Hypertension and Hyperthyrodism. Can anyone offer any insight as to why I'm so tired? Thank you everyone. I really do appreciate receiving your responses and learning new things on this site. Have a blessed day!,2013,2014,45,Female
Lisinopril+hypertension,Hello I am a 46 y/o female; NS; ND; who is now at a healthy weight. About 2 years ago-I had several episodes of what seemed to be classic angina. I had a stress test and echo done; and no cause was found. I was diagnosed with MILD hypertension; and treated with Lisinopril at that time. I was about 25# overweight then; and was advised to lose weight and begin an exercise program. The plan was to investigate the chest pain further if it recurred. I had no furthur problems until last week. I (with my docs ok) came off the Lisinopril slowly last month; to see if my weight loss and exercise program would allow me to get by without it. I had a 5 hour episode of chest pain at work last week; characterized by an intense pressure/pain in my chest; radiating to my throat and lower jaw. This pain eased when I rested for a bit; only to resume when I would get back up and resume work. Maalox did'nt help. Saw my doc the next day; who did an EKG (just some LAH noted on that) has scheduled a stress test; and put me back on the Lisinopril (BP running about 140/mid 90's at this point again). and gave me some nitro to carry. Once I began the Lisinopril again; no furthur problems. What would be your recommendations regarding furthur investigation; assuming the stress test will once again be negative? Could the Lisinopril be helping in some way? I don't obsess about my heart; in fact I rarely think about it at all. Just seems funny I don't have these pains while I am on it. Do you think a cath is indicated? Lipid profile pending; OK 2 years ago. Thanks.,2001,2003,,
Lisinopril+hypertension,Good morning Dr. I go to see my Gastro doctor ever three months. 523 days ago I was diagnosed with end stage alcoholic cirrhosis. Here are a list of my symptoms: End stage cirrhosis Gall stones Splenomegaly Portal hypertension Varices grade 3 Spider nevi Hepatic encephalopathy Hiatal hernia Umbilical hernia During my last visit to the doctor he told me that “he guarantees that in about 5 years I will be needing a liver transplant; 10 years on the outside.” I imagine he is basing this on the severity of my portal hypertension. My platelet 67; ammonia 61; bilirubin 2.4; GGT 127. 6 months ago meld score 8. At the time of diagnosis 17. So I feel recovery has been going amazingly well for me. The rest of my numbers are all within normal ranges. l limits and I drink probably 10-12 16oz bottles of water a day. Medications: I take vitamin C; B-complex; milk thistle. Other daily meds include xifaxan; lactalose; lexapro and metoprolol. Blood pressure diuretic Lisinopril;Hydrochlorthiazide 20mg/12.5mg. BP is 100/58. Diagnosed at age 38 currently 39 male. 1) Finally on to my question; is it really strange that I don’t have or never have had Ascites or Edema? Is this a problem you see in my future? 2) I’ve tried to provide as much information as possible so I could ask you if you agree with my doctors assessment of transplantation. 3) I currently have great medical insurance through my wife’s work. If we relocate and she loses the insurance I would be eligible for Medicare. Would having different insurance effect the procedure or my ability to have the procedure in any way? Should I consider not relocating? 4) Is there a large risk of a liver not being available at the time of my needing one? 5) Do you have any suggestions for me? I would really apreciate the advice.,2010,2011,39,Male
Lisinopril+hypertension,I haver been on hypertension med for 48 yrs. I am 76 now retired and not leading a stressful life. I am on 5mg lisinopril for hypertension once daily. Problem: bp avg upon arising in am averages 190/100. After stirring around bp is normal and below for the rest of the day. The last two nights; I have been very careful to sleep on my side and it has helped. ex: 142/83. I am going to try wearing my partials tonight and see if that helps. (holding my jaws further apart). Any advice; Tom,2007,2008,,
Lisinopril+hypertension,I was diagnosed with hypertension/high BP in June when the nurse at work sent me to ER with a BP of 210/120. I was immediately put on Norvasc 10mg and HCTZ 25mg daily. My pressure came down to 160/80 and after seeing my doc he said come back in 6 months. After questioning why I had high blood pressure and not getting any answers I asked to see another doc and he added Lisinopril 10mg and said come back in 6 months. Since then BP has been steady at 130's/40's. After bugging the doc enough about why at 32 i have to take 3 meds to keep BP under control he has finally set me up to see a kidney specialist. I have been experiencing soreness and weakness in my elbows; like tendonitis; extreme fatigue and burning in my arms when doing light work; tiredness and overall fatigue; since beginning these meds. I have to tell you that I also had a diskectomy in my lower backbecause of a herniated disk shortly after being put on these meds; but have fully recovered and take no pain killers. I would like to know if these are side effects of the meds or if it is possible i have some disease that affects my joints/disks as well as raises my BP?,2009,2009,31,Male
Lisinopril+hypertension,Hi there. First timer with a question about Losaran for hypertension. My BP runs about 140/90 without medication. I am not overweight (BMI of 22; age 57). My GP put me on Lisinopril last year but switched me to Losartan after the Lisinopril failed to help. The Losartan brought my BP down a lot with a 50 mg daily dose. I was down to 110/70 and even 100/65 at times. I even got light-headed when I stood up quickly. The GP said this was normal and good. He likes my BP to be well below 120/80. So far so good. I was getting the Losartan from Walgreens as a 30 day supply. My insurance wanted me to go to a 90 day 'Express Scripts' route since this was a long-term maintenance drug and so I did. Gradually; I notice my BP creeping up and up until now it is back to the 135/85 range. I am using an Omron 785 cuff meter which I have proven to myself is fairly accurate. I even took it to my GP's office and compared it to his reading with a sphygmo. Right on the mark. I notice that the Express Script drug I now use is made by Apotex whereas the original Walgreen brand was Cozaar. I went back to Walgreens and asked the pharmacist if there was any chance that the Apotex was inferior/impotent to the Cozaar for some reason. She assured me that could not be the case and that there could be no difference. Losartan is Losartan is Losartan. As an experiment(with GP consensus); I doubled my dose of Apotex Losartan from 50 to 100 mg a day for one week. No change in BP. I am baffled. GP does not have a clue either. I want to try going back to Cozaar. Sound reasonable?,2014,2014,,Male
Lisinopril+hypertension,I am a 51 year old female with a long standing history of high blood pressure. Up until a couple of years ago; it was well controlled with enalapril and HCTZ. About 2 years ago; when it started going up; Toprol XL 50 mg was added. Still not well controlled; the enalapril was dropped and 20 mg of Lisinopril added. I seemed to tolerate this well without any noticeable side effects. Just recently; BP noted to still be on the high side so a second dose of Lisinopril 20 mg added for a total of 40 mg daily. Since adding the 2nd dose of Lisinopril; my heart rate and BP have dropped significantly. My heart rate has been as low as 48 and more typically is in the 50's or low 60's. My blood pressure is in the range of 100/68 - 110/85. I do not like the way I feel since adding this 2nd dose of Lisinopril. I am very fatigued and almost have a "drugged" feeling throughout the day. Questions: 1. Can this medication make me feel like this? 2. Should I be concerned about the low heart rate? 3. Are there other blood pressure meds that can control my blood pressure without these side effects?,2007,2007,,
Lisinopril+hypertension,Hi All; I'm a 26 year old male with a heart rate question. My sitting heart rate during the day usually ranges from 60 to 80; however when I am standing my heart rate ranges from 80 to 100. When I am walking for exercise; between 3.3 to 4 mph my BPM is between 100 to 120; sometimes 125;130 if its really hot outside. I'm 6ft 240 lbs. I was at 280 lbs just 4 months ago so I've lost a lot of weight through exercise and diet. However I'm not really seeing any improvement in my heart rate. I was an athlete growing up; always active; lifting; running; sports etc; then three years ago I got a desk job and put on 50 lbs over the course of a year. I don't understand why my heart rate increases so much simply by standing. When I'm laying down after waking or before going to sleep my heart rate is sometimes as low as 50. I should also mention I have pre-hypertension; so my blood pressure is slightly high but below 140/90; however my doctor doesn't have me on any meds. I have GERD as well. Additional Information: In February of 2014 I was on Lisinopril for high blood pressure; but after two weeks I had sudden heart attack like symptoms that landed me in the ER. I had several tests done including chest x-ray; chest CAT scan; blood work; EKG; Ultra sound of my heart before and after a stress test. All the tests concluded my heart was fine so they don't know what caused it. However my primary doctor took me off Lisinopril because she believed it was an allergic reaction. However she did put my on a 4 week heart rythm study where I wore a mobile EKG device. They didn't discover anything concerning other than some occasional early heart beats. My doctor said we have all the evidence to say my heart is healthy so I feel confident my heart is okay.,2014,2014,26,Male
Lisinopril+hypertension,When I recently went in for a chest infection my blood pressure was way out there. The doctor put me on two 10mg capsules of Lisinopril a day. My blood pressure remains high. What causes my blood pressure to remain high even on BP meds? I do not work and do not have a lot of home stress or anything like that. I do not smoke; don't drink at all.,2008,2012,,Female
Lisinopril+hypertension,I am a 54yo white man; mild high BP (140/90) and cholesterol (220) but otherwise no medical problems. Two weeks ago I noticed my right arm was feeling "floppy" -- loose and weak. Had it checked out by my PCP a couple of days later; nothing clinically significant found. This has progressed to both arms and sometimes legs though the right side is always more than the left; and the arms more than the legs. My limbs are not actually weak; e.g. I can still pick up my 80# daughter w/ no extra effort; and did gardening all weekend no trouble. Grip strength is normal; but I feel uncoordinated and stiff in the fingers and a little clumsy; I've had pens fly out of my hand twice for no reason; and tripped when there wasn't anything unusual to trip over. I have occasional fasciculations (right arm; left calf and shoulder) and tremors in my right hand and occ the left. Tremors are not new but seem a bit worse; there is a family history of essential tremor. I have also noticed some minor speech difficulties; particularly with "sh" sounds followed by things like "ts" or "st" -- for example in conversation I pronounced "crushed stone" as "crush shtone" and had to try 3 times to get it right. All this started w/in a week after BP meds were increased from 10 mg to 40 mg lisinopril/day; but I know neuro effects are rare w/ lisinopril. I am an anxious type re health and my big worry of course is ALS. I also wonder about brain tumor; stroke; etc. I know you can't diagnose online but just would like to know what impression all this gives and what the possibilities are. Thanks!,2005,2005,,
Lisinopril+hypertension,Hello all My doctor prescribed me Lisinopril 40mg when my blood pressure was 170/105 at hospital about 6 months ago. I had dizziness (electricity going through my brain feeling) and fatigue; hard time breathing before the doctor's visit; but even after the medication; the symptoms continued. But; my blood pressure was regulated to around 110/80. Then; slowly; my blood pressure started coming down even more to 100/80; 90/70; then 80/60. So Doctor told me to take only 20mg of lisinopril every day. I did. Then; even more serious headaches; dizziness; and feeling like fainting; and high blood pressure. So Doctor then prescribed Atenolol 25mg per day. One week of trial. Even higher blood pressure around 170/110. So Doctor then advised that I should take both Lisinopril 30mg in the morning; and Atenolol 25mg at night. This has been working quite well for few weeks; bringing my blood pressure to 100/60 almost every time I measured it. But; recently; I started having those peak moments where I would start freezing/trembling; severe headaches/dizziness; and my legs had no strength that I fell few times. My arms/hands felt like there was no circulation; that I coudnt even hold a drug bottle. Blood pressure around 165/110. Then; I took Xanax. This helped almost every time I had this happened to me. But; these days; those happenings where I would have crazy dizziness and weakness in all my body and my blood pressure going up skyhigh come to me more often. Everytime I take Xanax; it does help; but only temporarily. Doctor tells me that I am having panic/anxiety attacks; and the medications actually do work; because all that matters is the average blood pressure; not just few incidents per week. I feel like there must be some other hypertension medication out there that should get rid of these symptoms and get my blood pressure stable. Because when it's stable; I feel OK. These days; not. I have high blood pressure very often even with the medications... not the anxiety attacks... I don't know what to do. Doc tells me to stop worrying and keep my current meds; but I want to change them.,2010,2010,49,Female
Lisinopril+hypertension,I'll try to keep this brief; but want to include some medical and overall life details. I'm 41; been divorced for just over five years; and met a lady a little over two months ago; and we've fallen in love quickly. I'm not used to falling fast; but I don't regret it. We decided we wanted to be intimate last night; but it didn't work too well. It's been about a year and a half since my last sexual experience. I've also struggled with porn; and am making a big effort to stay away from it; though it's not easy. I want my source of arousal to come from my partner. But there could be a medical root to this as well. I've had issues with high triglycerides and was taking niacin with nicotinic acid and flaxseed oil for a long time. Back in February 2015; I had a heart scare that turned out to be left ventricular hypertrophy brought on by hypertension. My blood pressure was around 145/80; and no telling how long that had been going on. Doc put me on 12.5mg of lisinopril with a diuretic and a statin drug. This helped; but I was totally unable to get an erection. I wasn't sexual with anyone; but that didn't seem normal. Doc prescribed 20mg of Levitra and changed me to 20mg of lisinopril without the diuretic. I used the Levitra to make sure blood still flowed to my penis; but even without it; things seemed to be more normal. After about 2 months and some lifestyle changes that included exercise and cutting sugar; doc took me off the statin drug. When I was married; my ex was really bad about withholding intimacy; and did that off and on for several years. I've been with a few women since my divorce and have been satisfied; but have deliberately kept that number small. Last night; we'd had a fun but busy day. We decided to lie down; and one thing led to another... I took a Levitra and we had foreplay while the drug took effect. I achieved an erection; but couldn't sustain it. I was laying on my back and she gave me oral; and it still seemed to shrink. We got it back up and she climbed on top; and it would last for awhile; but it would shrink. I was never able to climax. Needless to say; it's frustrating. I just wonder if this is a medical problem; or a psychological one. I really want things to work properly. Thank you;,2015,2015,40,Male
